 train         node "P(0)" "P(1)" observed predicted
     y          436  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          436  0.00001 0.99999 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     n          438  0.06810 0.00717 "NA" "0"
     y          437  0.00000 1.00000 "1" "1"
     y          439  0.03480 0.96520 "1" "1"
     y          439  0.03480 0.96520 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     n          437  0.00000 1.00000 "NA" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     n          437  0.00000 1.00000 "NA" "1"
     y           26  0.05754 0.94246 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y           26  0.05754 0.94246 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          436  0.00001 0.99999 "1" "1"
     y           26  0.05754 0.94246 "1" "1"
     y           26  0.03988 0.96012 "1" "1"
     y          436  0.00001 0.99999 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          436  0.00001 0.99999 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          439  0.02272 0.97728 "1" "1"
     y           26  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
     n          437  0.00000 1.00000 "NA" "1"
     y          437  0.00000 1.00000 "1" "1"
     y          437  0.00000 1.00000 "1" "1"
