 train         node  observed  predicted
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           13    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           13    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y            4    "1"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y            4    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           40    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           42    "1"  "1"
     y           28    "1"  "1"
     y           28    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     y           40    "1"  "1"
     n           41    "NA"  "1"
     y           28    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           28    "1"  "1"
     y            4    "1"  "1"
     n           40    "NA"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y            4    "1"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     n            4    "NA"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     n           28    "NA"  "1"
     y           29    "1"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     y           28    "1"  "1"
     y           28    "1"  "1"
     y           41    "1"  "1"
     y           28    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     y           28    "1"  "1"
     y            4    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     y           41    "1"  "1"
     y           28    "1"  "1"
     y           40    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y            4    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     n           40    "NA"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           12    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           42    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     y           12    "1"  "1"
     n            4    "NA"  "1"
     n           40    "NA"  "1"
     y           28    "1"  "1"
     y           40    "1"  "1"
     y           40    "1"  "1"
     y           12    "1"  "1"
     y            4    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           29    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     n           41    "NA"  "1"
     y           41    "1"  "1"
     y           28    "1"  "1"
     n           40    "NA"  "1"
     y            4    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     n           41    "NA"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     n           40    "NA"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y            4    "1"  "1"
     y           43    "1"  "0"
     y           40    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           40    "1"  "1"
     y           41    "1"  "1"
     y           41    "1"  "1"
     y           13    "0"  "0"
     y           13    "0"  "0"
     y           13    "0"  "0"
     y           13    "0"  "0"
     y           13    "0"  "0"
     y           15    "0"  "0"
     y           12    "0"  "0"
     y           13    "0"  "0"
     y           41    "0"  "0"
     y           13    "0"  "0"
     y           15    "0"  "0"
     y           12    "0"  "0"
     y           13    "0"  "0"
     y           43    "0"  "0"
     y           13    "0"  "0"
     y           40    "0"  "0"
     y           13    "0"  "0"
     y           13    "0"  "0"
